"dia","grado","asignatura","area","codigo","descripcion"
19,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.i","Puedo volver a contar la historia del nacimiento de Jesús usando palabras, accesorios o dibujos."
20,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.i","Puedo volver a contar la historia del nacimiento de Jesús usando palabras, accesorios o dibujos."
21,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.i","Puedo volver a contar la historia del nacimiento de Jesús usando palabras, accesorios o dibujos."
22,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.ii","Puedo volver a contar la historia de la muerte y resurrección de Jesús usando palabras, accesorios o dibujos."
23,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.ii","Puedo volver a contar la historia de la muerte y resurrección de Jesús usando palabras, accesorios o dibujos."
24,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.ii","Puedo volver a contar la historia de la muerte y resurrección de Jesús usando palabras, accesorios o dibujos."
25,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.i","Puedo ilustrar la idea principal de la parábola del Buen Samaritano."
26,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.i","Puedo ilustrar la idea principal de la parábola del Buen Samaritano."
27,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.ii","Puedo ilustrar la idea principal de la parábola de la Oveja Perdida."
28,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.ii","Puedo ilustrar la idea principal de la parábola de la Oveja Perdida."
29,"K","Biblia","Alfabetización Bíblica","K.BL.1.e","Puedo memorizar los versículos bíblicos fundamentales (Génesis 1:1, Salmos 23:1, Romanos 3:23)."
30,"K","Biblia","Alfabetización Bíblica","K.BL.1.e","Puedo memorizar los versículos bíblicos fundamentales (Génesis 1:1, Salmos 23:1, Romanos 3:23)."
31,"K","Biblia","Discernimiento Espiritual","K.SD.2.a","Puedo explicar que Dios siempre está conmigo incluso cuando las cosas son difíciles o suceden cosas malas (ej. José)."
32,"K","Biblia","Discernimiento Espiritual","K.SD.2.a","Puedo explicar que Dios siempre está conmigo incluso cuando las cosas son difíciles o suceden cosas malas (ej. José)."
33,"K","Biblia","Discernimiento Espiritual","K.SD.2.b","Puedo modelar cómo cantar canciones de alabanza a Dios es una forma de adorarlo (ej. Acción de Gracias)."
34,"K","Biblia","Discernimiento Espiritual","K.SD.2.b","Puedo modelar cómo cantar canciones de alabanza a Dios es una forma de adorarlo (ej. Acción de Gracias)."
35,"K","Biblia","Discernimiento Espiritual","K.SD.2.c","Puedo describir las maneras en que Dios me ha hecho especial (ej. Jesús y los niños)."
36,"K","Biblia","Discernimiento Espiritual","K.SD.2.c","Puedo describir las maneras en que Dios me ha hecho especial (ej. Jesús y los niños)."
37,"K","Biblia","Cosmovisión Bíblica","K.BW.3.a","Sé que la Biblia es la Palabra de Dios (ej. Juan y Jesús cumplen la profecía)."
38,"K","Biblia","Cosmovisión Bíblica","K.BW.3.a","Sé que la Biblia es la Palabra de Dios (ej. Juan y Jesús cumplen la profecía)."
39,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.a","Puedo dar ejemplos de cómo mostrar respeto a los demás."
40,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.a","Puedo dar ejemplos de cómo mostrar respeto a los demás."
41,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.b","Puedo nombrar formas de obedecer a la autoridad en el hogar y en la escuela."
42,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.b","Puedo nombrar formas de obedecer a la autoridad en el hogar y en la escuela."
43,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.c","Puedo dar ejemplos de formas en que muestro amabilidad a los demás."
44,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.c","Puedo dar ejemplos de formas en que muestro amabilidad a los demás."
45,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.d","Puedo dar ejemplos de formas de mostrar compasión por las personas pobres o necesitadas."
46,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.d","Puedo dar ejemplos de formas de mostrar compasión por las personas pobres o necesitadas."
47,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.i","Puedo secuenciar los eventos clave de la Creación."
48,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.i","Puedo secuenciar los eventos clave de la Creación."
49,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.ii","Puedo secuenciar los eventos clave de Abraham (la promesa de Dios del nacimiento de Isaac)."
50,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.ii","Puedo secuenciar los eventos clave de Abraham (la promesa de Dios del nacimiento de Isaac)."
51,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iii","Puedo secuenciar los eventos clave de David y Goliat."
52,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iii","Puedo secuenciar los eventos clave de David y Goliat."
53,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iv","Puedo secuenciar los eventos clave de Jonás."
54,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iv","Puedo secuenciar los eventos clave de Jonás."
55,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.i","Puedo explicar lo que podemos aprender a través de la historia de Mefiboset."
56,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.i","Puedo explicar lo que podemos aprender a través de la historia de Mefiboset."
57,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.ii","Puedo explicar lo que podemos aprender a través de la historia de David y Jonatán."
58,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.ii","Puedo explicar lo que podemos aprender a través de la historia de David y Jonatán."
59,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.iii","Puedo explicar lo que podemos aprender a través de la historia de Ester."
60,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.iii","Puedo explicar lo que podemos aprender a través de la historia de Ester."
61,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.i","Puedo volver a contar la historia del nacimiento de Jesús usando palabras, accesorios o dibujos."
62,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.i","Puedo volver a contar la historia del nacimiento de Jesús usando palabras, accesorios o dibujos."
63,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.ii","Puedo volver a contar la historia de la muerte y resurrección de Jesús usando palabras, accesorios o dibujos."
64,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.ii","Puedo volver a contar la historia de la muerte y resurrección de Jesús usando palabras, accesorios o dibujos."
65,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.i","Puedo ilustrar la idea principal de la parábola del Buen Samaritano."
66,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.i","Puedo ilustrar la idea principal de la parábola del Buen Samaritano."
67,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.ii","Puedo ilustrar la idea principal de la parábola de la Oveja Perdida."
68,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.ii","Puedo ilustrar la idea principal de la parábola de la Oveja Perdida."
69,"K","Biblia","Alfabetización Bíblica","K.BL.1.e","Puedo memorizar los versículos bíblicos fundamentales (Génesis 1:1, Salmos 23:1, Romanos 3:23)."
70,"K","Biblia","Alfabetización Bíblica","K.BL.1.e","Puedo memorizar los versículos bíblicos fundamentales (Génesis 1:1, Salmos 23:1, Romanos 3:23)."
71,"K","Biblia","Discernimiento Espiritual","K.SD.2.a","Puedo explicar que Dios siempre está conmigo incluso cuando las cosas son difíciles o suceden cosas malas (ej. José)."
72,"K","Biblia","Discernimiento Espiritual","K.SD.2.a","Puedo explicar que Dios siempre está conmigo incluso cuando las cosas son difíciles o suceden cosas malas (ej. José)."
73,"K","Biblia","Discernimiento Espiritual","K.SD.2.b","Puedo modelar cómo cantar canciones de alabanza a Dios es una forma de adorarlo (ej. Acción de Gracias)."
74,"K","Biblia","Discernimiento Espiritual","K.SD.2.b","Puedo modelar cómo cantar canciones de alabanza a Dios es una forma de adorarlo (ej. Acción de Gracias)."
75,"K","Biblia","Discernimiento Espiritual","K.SD.2.c","Puedo describir las maneras en que Dios me ha hecho especial (ej. Jesús y los niños)."
76,"K","Biblia","Discernimiento Espiritual","K.SD.2.c","Puedo describir las maneras en que Dios me ha hecho especial (ej. Jesús y los niños)."
77,"K","Biblia","Cosmovisión Bíblica","K.BW.3.a","Sé que la Biblia es la Palabra de Dios (ej. Juan y Jesús cumplen la profecía)."
78,"K","Biblia","Cosmovisión Bíblica","K.BW.3.a","Sé que la Biblia es la Palabra de Dios (ej. Juan y Jesús cumplen la profecía)."
79,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.a","Puedo dar ejemplos de cómo mostrar respeto a los demás."
80,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.a","Puedo dar ejemplos de cómo mostrar respeto a los demás."
81,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.b","Puedo nombrar formas de obedecer a la autoridad en el hogar y en la escuela."
82,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.b","Puedo nombrar formas de obedecer a la autoridad en el hogar y en la escuela."
83,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.c","Puedo dar ejemplos de formas en que muestro amabilidad a los demás."
84,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.c","Puedo dar ejemplos de formas en que muestro amabilidad a los demás."
85,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.d","Puedo dar ejemplos de formas de mostrar compasión por las personas pobres o necesitadas."
86,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.d","Puedo dar ejemplos de formas de mostrar compasión por las personas pobres o necesitadas."
87,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.i","Puedo secuenciar los eventos clave de la Creación."
88,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.i","Puedo secuenciar los eventos clave de la Creación."
89,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.ii","Puedo secuenciar los eventos clave de Abraham (la promesa de Dios del nacimiento de Isaac)."
90,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.ii","Puedo secuenciar los eventos clave de Abraham (la promesa de Dios del nacimiento de Isaac)."
91,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iii","Puedo secuenciar los eventos clave de David y Goliat."
92,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iii","Puedo secuenciar los eventos clave de David y Goliat."
93,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iv","Puedo secuenciar los eventos clave de Jonás."
94,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iv","Puedo secuenciar los eventos clave de Jonás."
95,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.i","Puedo explicar lo que podemos aprender a través de la historia de Mefiboset."
96,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.i","Puedo explicar lo que podemos aprender a través de la historia de Mefiboset."
97,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.ii","Puedo explicar lo que podemos aprender a través de la historia de David y Jonatán."
98,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.ii","Puedo explicar lo que podemos aprender a través de la historia de David y Jonatán."
99,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.iii","Puedo explicar lo que podemos aprender a través de la historia de Ester."
100,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.iii","Puedo explicar lo que podemos aprender a través de la historia de Ester."
101,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.i","Puedo volver a contar la historia del nacimiento de Jesús usando palabras, accesorios o dibujos."
102,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.i","Puedo volver a contar la historia del nacimiento de Jesús usando palabras, accesorios o dibujos."
103,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.ii","Puedo volver a contar la historia de la muerte y resurrección de Jesús usando palabras, accesorios o dibujos."
104,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.ii","Puedo volver a contar la historia de la muerte y resurrección de Jesús usando palabras, accesorios o dibujos."
105,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.i","Puedo ilustrar la idea principal de la parábola del Buen Samaritano."
106,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.i","Puedo ilustrar la idea principal de la parábola del Buen Samaritano."
107,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.ii","Puedo ilustrar la idea principal de la parábola de la Oveja Perdida."
108,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.ii","Puedo ilustrar la idea principal de la parábola de la Oveja Perdida."
109,"K","Biblia","Alfabetización Bíblica","K.BL.1.e","Puedo memorizar los versículos bíblicos fundamentales (Génesis 1:1, Salmos 23:1, Romanos 3:23)."
110,"K","Biblia","Alfabetización Bíblica","K.BL.1.e","Puedo memorizar los versículos bíblicos fundamentales (Génesis 1:1, Salmos 23:1, Romanos 3:23)."
111,"K","Biblia","Discernimiento Espiritual","K.SD.2.a","Puedo explicar que Dios siempre está conmigo incluso cuando las cosas son difíciles o suceden cosas malas (ej. José)."
112,"K","Biblia","Discernimiento Espiritual","K.SD.2.a","Puedo explicar que Dios siempre está conmigo incluso cuando las cosas son difíciles o suceden cosas malas (ej. José)."
113,"K","Biblia","Discernimiento Espiritual","K.SD.2.b","Puedo modelar cómo cantar canciones de alabanza a Dios es una forma de adorarlo (ej. Acción de Gracias)."
114,"K","Biblia","Discernimiento Espiritual","K.SD.2.b","Puedo modelar cómo cantar canciones de alabanza a Dios es una forma de adorarlo (ej. Acción de Gracias)."
115,"K","Biblia","Discernimiento Espiritual","K.SD.2.c","Puedo describir las maneras en que Dios me ha hecho especial (ej. Jesús y los niños)."
116,"K","Biblia","Discernimiento Espiritual","K.SD.2.c","Puedo describir las maneras en que Dios me ha hecho especial (ej. Jesús y los niños)."
117,"K","Biblia","Cosmovisión Bíblica","K.BW.3.a","Sé que la Biblia es la Palabra de Dios (ej. Juan y Jesús cumplen la profecía)."
118,"K","Biblia","Cosmovisión Bíblica","K.BW.3.a","Sé que la Biblia es la Palabra de Dios (ej. Juan y Jesús cumplen la profecía)."
119,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.a","Puedo dar ejemplos de cómo mostrar respeto a los demás."
120,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.a","Puedo dar ejemplos de cómo mostrar respeto a los demás."
121,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.b","Puedo nombrar formas de obedecer a la autoridad en el hogar y en la escuela."
122,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.b","Puedo nombrar formas de obedecer a la autoridad en el hogar y en la escuela."
123,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.c","Puedo dar ejemplos de formas en que muestro amabilidad a los demás."
124,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.c","Puedo dar ejemplos de formas en que muestro amabilidad a los demás."
125,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.d","Puedo dar ejemplos de formas de mostrar compasión por las personas pobres o necesitadas."
126,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.d","Puedo dar ejemplos de formas de mostrar compasión por las personas pobres o necesitadas."
127,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.i","Puedo secuenciar los eventos clave de la Creación."
128,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.i","Puedo secuenciar los eventos clave de la Creación."
129,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.ii","Puedo secuenciar los eventos clave de Abraham (la promesa de Dios del nacimiento de Isaac)."
130,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.ii","Puedo secuenciar los eventos clave de Abraham (la promesa de Dios del nacimiento de Isaac)."
131,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iii","Puedo secuenciar los eventos clave de David y Goliat."
132,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iii","Puedo secuenciar los eventos clave de David y Goliat."
133,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iv","Puedo secuenciar los eventos clave de Jonás."
134,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iv","Puedo secuenciar los eventos clave de Jonás."
135,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.i","Puedo explicar lo que podemos aprender a través de la historia de Mefiboset."
136,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.i","Puedo explicar lo que podemos aprender a través de la historia de Mefiboset."
137,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.ii","Puedo explicar lo que podemos aprender a través de la historia de David y Jonatán."
138,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.ii","Puedo explicar lo que podemos aprender a través de la historia de David y Jonatán."
139,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.iii","Puedo explicar lo que podemos aprender a través de la historia de Ester."
140,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.iii","Puedo explicar lo que podemos aprender a través de la historia de Ester."
141,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.i","Puedo volver a contar la historia del nacimiento de Jesús usando palabras, accesorios o dibujos."
142,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.i","Puedo volver a contar la historia del nacimiento de Jesús usando palabras, accesorios o dibujos."
143,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.ii","Puedo volver a contar la historia de la muerte y resurrección de Jesús usando palabras, accesorios o dibujos."
144,"K","Biblia","Alfabetización Bíblica","K.BL.1.c.ii","Puedo volver a contar la historia de la muerte y resurrección de Jesús usando palabras, accesorios o dibujos."
145,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.i","Puedo ilustrar la idea principal de la parábola del Buen Samaritano."
146,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.i","Puedo ilustrar la idea principal de la parábola del Buen Samaritano."
147,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.ii","Puedo ilustrar la idea principal de la parábola de la Oveja Perdida."
148,"K","Biblia","Alfabetización Bíblica","K.BL.1.d.ii","Puedo ilustrar la idea principal de la parábola de la Oveja Perdida."
149,"K","Biblia","Alfabetización Bíblica","K.BL.1.e","Puedo memorizar los versículos bíblicos fundamentales (Génesis 1:1, Salmos 23:1, Romanos 3:23)."
150,"K","Biblia","Alfabetización Bíblica","K.BL.1.e","Puedo memorizar los versículos bíblicos fundamentales (Génesis 1:1, Salmos 23:1, Romanos 3:23)."
151,"K","Biblia","Discernimiento Espiritual","K.SD.2.a","Puedo explicar que Dios siempre está conmigo incluso cuando las cosas son difíciles o suceden cosas malas (ej. José)."
152,"K","Biblia","Discernimiento Espiritual","K.SD.2.a","Puedo explicar que Dios siempre está conmigo incluso cuando las cosas son difíciles o suceden cosas malas (ej. José)."
153,"K","Biblia","Discernimiento Espiritual","K.SD.2.b","Puedo modelar cómo cantar canciones de alabanza a Dios es una forma de adorarlo (ej. Acción de Gracias)."
154,"K","Biblia","Discernimiento Espiritual","K.SD.2.b","Puedo modelar cómo cantar canciones de alabanza a Dios es una forma de adorarlo (ej. Acción de Gracias)."
155,"K","Biblia","Discernimiento Espiritual","K.SD.2.c","Puedo describir las maneras en que Dios me ha hecho especial (ej. Jesús y los niños)."
156,"K","Biblia","Discernimiento Espiritual","K.SD.2.c","Puedo describir las maneras en que Dios me ha hecho especial (ej. Jesús y los niños)."
157,"K","Biblia","Cosmovisión Bíblica","K.BW.3.a","Sé que la Biblia es la Palabra de Dios (ej. Juan y Jesús cumplen la profecía)."
158,"K","Biblia","Cosmovisión Bíblica","K.BW.3.a","Sé que la Biblia es la Palabra de Dios (ej. Juan y Jesús cumplen la profecía)."
159,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.a","Puedo dar ejemplos de cómo mostrar respeto a los demás."
160,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.a","Puedo dar ejemplos de cómo mostrar respeto a los demás."
161,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.b","Puedo nombrar formas de obedecer a la autoridad en el hogar y en la escuela."
162,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.b","Puedo nombrar formas de obedecer a la autoridad en el hogar y en la escuela."
163,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.c","Puedo dar ejemplos de formas en que muestro amabilidad a los demás."
164,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.c","Puedo dar ejemplos de formas en que muestro amabilidad a los demás."
165,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.d","Puedo dar ejemplos de formas de mostrar compasión por las personas pobres o necesitadas."
166,"K","Biblia","Aplicación a la Vida y Servicio","K.LAS.4.d","Puedo dar ejemplos de formas de mostrar compasión por las personas pobres o necesitadas."
167,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.i","Puedo secuenciar los eventos clave de la Creación."
168,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.i","Puedo secuenciar los eventos clave de la Creación."
169,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.ii","Puedo secuenciar los eventos clave de Abraham (la promesa de Dios del nacimiento de Isaac)."
170,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.ii","Puedo secuenciar los eventos clave de Abraham (la promesa de Dios del nacimiento de Isaac)."
171,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iii","Puedo secuenciar los eventos clave de David y Goliat."
172,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iii","Puedo secuenciar los eventos clave de David y Goliat."
173,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iv","Puedo secuenciar los eventos clave de Jonás."
174,"K","Biblia","Alfabetización Bíblica","K.BL.1.a.iv","Puedo secuenciar los eventos clave de Jonás."
175,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.i","Puedo explicar lo que podemos aprender a través de la historia de Mefiboset."
176,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.i","Puedo explicar lo que podemos aprender a través de la historia de Mefiboset."
177,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.ii","Puedo explicar lo que podemos aprender a través de la historia de David y Jonatán."
178,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.ii","Puedo explicar lo que podemos aprender a través de la historia de David y Jonatán."
179,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.iii","Puedo explicar lo que podemos aprender a través de la historia de Ester."
180,"K","Biblia","Alfabetización Bíblica","K.BL.1.b.iii","Puedo explicar lo que podemos aprender a través de la historia de Ester."
1,"1°","Biblia","Alfabetización Bíblica","1.BL.1.a.i","Puedo resumir la historia de la Creación, Adán y Eva, y la Caída."
2,"1°","Biblia","Alfabetización Bíblica","1.BL.1.a.i","Puedo resumir la historia de la Creación, Adán y Eva, y la Caída."
3,"1°","Biblia","Alfabetización Bíblica","1.BL.1.a.i","Puedo resumir la historia de la Creación, Adán y Eva, y la Caída."
4,"1°","Biblia","Alfabetización Bíblica","1.BL.1.a.ii","Puedo resumir la historia de Noé."
5,"1°","Biblia","Alfabetización Bíblica","1.BL.1.a.ii","Puedo resumir la historia de Noé."
6,"1°","Biblia","Alfabetización Bíblica","1.BL.1.a.iii","Puedo resumir la historia de Josué y Caleb."
7,"1°","Biblia","Alfabetización Bíblica","1.BL.1.a.iii","Puedo resumir la historia de Josué y Caleb."
8,"1°","Biblia","Alfabetización Bíblica","1.BL.1.a.iv","Puedo resumir la historia de Rut y Noemí."
9,"1°","Biblia","Alfabetización Bíblica","1.BL.1.a.iv","Puedo resumir la historia de Rut y Noemí."
10,"1°","Biblia","Alfabetización Bíblica","1.BL.1.b","Puedo explicar cómo los Diez Mandamientos se aplican a mi vida hoy."
11,"1°","Biblia","Alfabetización Bíblica","1.BL.1.b","Puedo explicar cómo los Diez Mandamientos se aplican a mi vida hoy."
12,"1°","Biblia","Alfabetización Bíblica","1.BL.1.c","Puedo secuenciar los eventos en la vida de José."
13,"1°","Biblia","Alfabetización Bíblica","1.BL.1.c","Puedo secuenciar los eventos en la vida de José."
14,"1°","Biblia","Alfabetización Bíblica","1.BL.1.c","Puedo secuenciar los eventos en la vida de José."
15,"1°","Biblia","Alfabetización Bíblica","1.BL.1.d","Puedo volver a contar la historia del nacimiento de Jesús y describir cómo era de niño."
16,"1°","Biblia","Alfabetización Bíblica","1.BL.1.d","Puedo volver a contar la historia del nacimiento de Jesús y describir cómo era de niño."
17,"1°","Biblia","Alfabetización Bíblica","1.BL.1.d","Puedo volver a contar la historia del nacimiento de Jesús y describir cómo era de niño."
18,"1°","Biblia","Alfabetización Bíblica","1.BL.1.e","Puedo identificar personas como Pedro, Esteban, Felipe y Pablo, y las formas en que ayudaron a edificar la iglesia primitiva."
19,"1°","Biblia","Alfabetización Bíblica","1.BL.1.e","Puedo identificar personas como Pedro, Esteban, Felipe y Pablo, y las formas en que ayudaron a edificar la iglesia primitiva."
20,"1°","Biblia","Alfabetización Bíblica","1.BL.1.e","Puedo identificar personas como Pedro, Esteban, Felipe y Pablo, y las formas en que ayudaron a edificar la iglesia primitiva."
21,"1°","Biblia","Alfabetización Bíblica","1.BL.1.f","Puedo memorizar los versículos bíblicos fundamentales (Salmos 100:3, Salmos 119:9,11, Juan 3:16, Efesios 4:32) y explicar lo que significan con mis propias palabras."
22,"1°","Biblia","Alfabetización Bíblica","1.BL.1.f","Puedo memorizar los versículos bíblicos fundamentales (Salmos 100:3, Salmos 119:9,11, Juan 3:16, Efesios 4:32) y explicar lo que significan con mis propias palabras."
23,"1°","Biblia","Discernimiento Espiritual","1.SD.2.a","Puedo dar ejemplos de confiar en Dios incluso cuando suceden cosas difíciles."
24,"1°","Biblia","Discernimiento Espiritual","1.SD.2.a","Puedo dar ejemplos de confiar en Dios incluso cuando suceden cosas difíciles."
