Grau;Área;Emitir;Código;Descrição
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 1: Educação cívica: cidadania na sala de aula;HSS.K.T1.01;"Compreender e seguir regras, limites e expectativas com o mínimo de orientação e assistência; com orientação e apoio, fazer e responder perguntas sobre os motivos das regras."
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 1: Educação cívica: cidadania na sala de aula;HSS.K.T1.02;Assuma responsabilidades e cumpra-as, sendo prestativo e respeitoso com os outros (por exemplo, fazendo trabalho voluntário e realizando tarefas na sala de aula e em casa).
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 1: Educação cívica: cidadania na sala de aula;HSS.K.T1.03;Com sugestões e apoio, dê exemplos de textos literários e informativos lidos ou em voz alta sobre personagens que demonstram autoridade, imparcialidade, cuidado, justiça, responsabilidade ou que mostram como as regras são criadas e seguidas.
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 1: Educação cívica: cidadania na sala de aula;HSS.K.T1.04;Faça perguntas e responda-as, além de explorar livros para aprender sobre os símbolos nacionais, canções e textos dos Estados Unidos: a. Por que a bandeira dos Estados Unidos da América é vermelha, branca e azul, e tem estrelas e listras? b. Por que a águia-careca é o emblema nacional dos Estados Unidos? c. Por que a bandeira americana é o hino nacional dos Estados Unidos? d. O que significam as palavras do Juramento de Fidelidade à Bandeira. Esclarecimento: Os professores devem explorar a história e as histórias que envolvem os símbolos nacionais para compreender seu significado em contexto. O conhecimento dos símbolos e canções deve ser compartilhado entre os alunos do jardim de infância e do 1º ano.
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 2: Geografia: conexões entre lugares;HSS.K.T2.01;Descrever a localização de pessoas, objetos e lugares, usando corretamente palavras e frases como em cima, embaixo, perto, longe, esquerda, direita, atrás, atrás, na frente, ao lado e entre. Por exemplo, um aluno descreve a localização de sua sala de aula como “perto da secretaria, logo ali no corredor, ao lado da biblioteca”. Vale ressaltar que os padrões do currículo de matemática para o jardim de infância de Massachusetts também exigem que os alunos descrevam as posições relativas dos objetos usando vocabulário preciso.
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 2: Geografia: conexões entre lugares;HSS.K.T2.02;Com o auxílio de recursos, explique as semelhanças e diferenças entre mapas e globos terrestres.
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 2: Geografia: conexões entre lugares;HSS.K.T2.03;Identifique os elementos de um endereço físico, incluindo nome e número da rua, cidade, estado (Massachusetts) e país (Estados Unidos).
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 2: Geografia: conexões entre lugares;HSS.K.T2.04;"Com ajuda, em um mapa do estado, encontre a cidade ou o município onde a escola do aluno está localizada; em um mapa de ruas da cidade ou do município, encontre a localização da escola do aluno."
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 2: Geografia: conexões entre lugares;HSS.K.T2.05;Utilizar mapas, fotografias, desenhos próprios ou outras representações para mostrar e explicar a outras pessoas a localização de lugares importantes e as relações entre os lugares nas imediações da casa ou da escola do aluno. Por exemplo, um aluno utiliza um mapa e uma série de fotografias da escola e seus arredores como recursos visuais ao explicar a um amigo onde o ônibus escolar para, onde é seguro atravessar a rua com o guarda de trânsito, onde entrar na escola e onde encontrar os balanços ou um lugar para jogar bola no parquinho.
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 2: Geografia: conexões entre lugares;HSS.K.T2.06;Construa mapas, desenhos e modelos que mostrem as características físicas de lugares familiares.
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 3: História: Tradições Compartilhadas;HSS.K.T3.01;Descreva como alguns dias, chamados feriados cívicos, são especiais porque celebram eventos ou pessoas importantes na história (consulte o Suplemento de Recursos, Seção III, para obter uma lista de feriados cívicos estaduais, nacionais e internacionais e suas histórias).
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 3: História: Tradições Compartilhadas;HSS.K.T3.02;Compare e contraste as tradições e celebrações de povos com diferentes origens culturais.
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 3: História: Tradições Compartilhadas;HSS.K.T3.03;"Ordenar temporariamente eventos de sua vida pessoal, observações do mundo natural e histórias e textos informativos lidos ou falados em voz alta, usando palavras e frases relacionadas à cronologia e ao tempo, incluindo: a. Ações sequenciais: primeiro, depois, por último; b. Cronologia e tempo: agora, então, há muito tempo, antes, depois, amanhã, tarde, noite, hoje, amanhã, ontem, semana passada ou próxima semana, mês passado ou próximo mês, ano passado ou próximo ano."
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 4: Economia: trabalho e comércio (compartilhado com a pré-escola); HSS.K.T4.01;Com orientação e apoio, descreva algumas atividades que as pessoas realizam quando trabalham dentro e fora de casa, com base em sua experiência pessoal, na literatura e em textos informativos.
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 4: Economia: trabalho e comércio (compartilhado com a pré-escola);HSS.K.T4.02;Compra, venda e troca de bens e serviços. Com orientação e apoio, faça e responda perguntas sobre compra, venda ou troca de algo e explique como as pessoas tomam decisões sobre as coisas de que precisam e desejam.
K; Muitos papéis na vida, na aprendizagem e no trabalho em equipe.;Tópico 4: Economia: trabalho e comércio (compartilhado com a pré-escola);HSS.K.T4.03;Com orientação e apoio, dê exemplos de sua experiência pessoal, literatura ou textos informativos sobre bens e serviços que as pessoas compram com o dinheiro que ganham.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 1: Educação cívica: comunidades, eleições e liderança;HSS.1.T1.01;"Demonstrar compreensão dos benefícios de fazer parte de um grupo e explicar o que significa ser membro de um grupo; seguir as regras, limites, responsabilidades e expectativas do grupo e explicar os motivos das regras aos outros. Por exemplo, para esclarecer o conceito de pertencimento, os alunos fazem um brainstorming sobre os grupos aos quais pertencem simultaneamente: por exemplo, são membros de uma família, uma sala de aula, uma escola, talvez um time esportivo, um grupo de escoteiros, um clube de arte, um grupo religioso, uma comunidade de bairro, uma cidade ou um país. Juntamente com o professor, eles criam uma lista com algumas das diferentes expectativas de cada grupo e procuram semelhanças entre elas."
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 1: Educação cívica: comunidades, eleições e liderança;HSS.1.T1.02;Investigue os diferentes papéis desempenhados pelos membros de um grupo e explique como esses papéis contribuem para a conquista de um objetivo comum.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 1: Educação cívica: comunidades, eleições e liderança;HSS.1.T1.03;Demonstre compreensão de que um líder também é membro de um grupo, mas assume um papel diferente com maior responsabilidade: inspirar os outros, organizar e delegar tarefas e ajudar o grupo a tomar decisões. Por exemplo, alunos trabalhando em um projeto em um pequeno grupo podem assumir os papéis de líder, secretário ou relator, ilustrador ou cronometrista.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 1: Educação cívica: comunidades, eleições e liderança;HSS.1.T1.04;Analise exemplos de liderança e líderes da história, da vida cotidiana e de textos literários e informativos lidos ou narrados em voz alta, e descreva as qualidades de um bom líder.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 1: Educação cívica: comunidades, eleições e liderança;HSS.1.T1.05;Dê exemplos de por que membros de um grupo com pontos de vista diferentes precisam de processos de tomada de decisão e explique como eles podem tomar decisões justas ou eleger líderes por meio de votação. Por exemplo, os alunos ganham experiência prática com o conceito de democracia ao debaterem e votarem sobre as responsabilidades dos líderes de turma e, em seguida, votarem para eleger os líderes de turma do dia ou da semana.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 1: Educação cívica: comunidades, eleições e liderança;HSS.1.T1.06;Explique que uma eleição é um tipo de votação em que as pessoas escolhem líderes. Por exemplo, os alunos relacionam sua análise das qualidades de liderança à ideia de eleições, listando as qualidades que procurariam em um candidato.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 1: Educação cívica: comunidades, eleições e liderança;HSS.1.T1.07;Identifique alguns líderes eleitos (por exemplo, o Presidente dos Estados Unidos, o Governador de Massachusetts, o capitão de um time de futebol) e explique seus papéis.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 1: Educação cívica: comunidades, eleições e liderança;HSS.1.T1.08;"Demonstrar compreensão de que os membros de uma cidade, município ou nação nos Estados Unidos são chamados de cidadãos e que seus direitos e responsabilidades incluem eleger líderes que cumprem mandatos fixos; prestar atenção às ações do líder e decidir se o reelegem ou não com base em quão bem ele serviu aos cidadãos."
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 1: Educação cívica: comunidades, eleições e liderança;HSS.1.T1.09;Explique que todos os nascidos nos Estados Unidos são cidadãos, enquanto alguns adquirem a cidadania imigrando para os Estados Unidos vindos de outro país. Compreenda que alguns residentes dos EUA não são cidadãos, mas ainda assim são membros da comunidade com direitos e responsabilidades.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 1: Educação cívica: comunidades, eleições e liderança;HSS.1.T1.10;Avalie as qualidades de um bom cidadão ou membro da comunidade, com base em exemplos da história, literatura, textos informativos, notícias e experiências pessoais.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 2: Geografia: lugares para explorar;HSS.1.T2.01;Como os mapas podem ajudar as pessoas a localizar lugares e a aprender sobre eles? Explique que um mapa representa espaços e ajuda a identificar locais e características.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 2: Geografia: lugares para explorar;HSS.1.T2.02;"Identificar e usar a linguagem dos pontos cardeais (norte, leste, sul, oeste) ao localizar e descrever lugares em um mapa; usar um mapa para identificar a localização de grandes cidades e capitais (por exemplo, Boston, Massachusetts, Washington D.C., Cidade do México, México) e investigar os fatores que explicam por que esses locais se tornaram cidades importantes."
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 2: Geografia: lugares para explorar;HSS.1.T2.03;Explique que uma cidade chamada capital é o centro do governo de um estado ou nação.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 2: Geografia: lugares para explorar;HSS.1.T2.04;Localizar e explicar características físicas (por exemplo, continentes, oceanos, rios, lagos, montanhas) em mapas e construir mapas e outras representações de lugares locais.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 2: Geografia: lugares para explorar;HSS.1.T2.05;Demonstrar compreensão de que pessoas de diferentes partes do mundo podem ter estilos de vida, costumes e idiomas diferentes.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 3: História: Unidade e Diversidade nos Estados Unidos;HSS.1.T3.01;Apresente evidências para explicar algumas das maneiras pelas quais os americanos são unidos (por exemplo, compartilham uma história nacional comum) e diversos (por exemplo, têm origens, crenças e celebrações diferentes, tradições culturais e estruturas familiares diferentes). Os alunos devem aprender sobre as famílias uns dos outros e os tipos de famílias que podem ser diferentes das suas (por exemplo, monoparentais, reconstituídas, chefiadas por avós, de acolhimento, LGBT, multirraciais). Devem começar a compreender a diversidade dos americanos e, ao mesmo tempo, como pessoas de diferentes origens podem compartilhar valores comuns, como cortesia, coragem, honestidade, respeito e confiabilidade. Os alunos devem ser capazes de realizar pesquisas sobre união e diversidade lendo ou consultando livros ilustrados sobre famílias de origens diversas ou entrevistando amigos, parentes, vizinhos ou funcionários da escola e, em seguida, relatando suas descobertas sobre as contribuições de pessoas de origens diversas para a nação, o estado ou a comunidade local.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 3: História: Unidade e Diversidade nos Estados Unidos;HSS.1.T3.02;"Demonstre compreensão das maneiras pelas quais as pessoas mostram orgulho de pertencer aos Estados Unidos, reconhecendo e explicando o significado de símbolos, frases e canções que unificam o país: a. símbolos nacionais (por exemplo, a bandeira dos Estados Unidos, a águia-careca, a Casa Branca e a Estátua da Liberdade); b. palavras, slogans, frases e sentenças associadas aos Estados Unidos (por exemplo, ""EUA"" ou ""América"", que significa Estados Unidos da América, o lema em latim ""e pluribus unum"", em moedas, notas e no selo dos Estados Unidos, traduzido como ""De muitos, um"", e o ""Juramento de Fidelidade à Bandeira""); c. as melodias e letras de canções patrióticas (por exemplo, ""America the Beautiful"", ""My Country"", ""Tis of Thee"", ""God Bless America"" e ""The Star-Spangled Banner"")."
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 3: História: Unidade e Diversidade nos Estados Unidos;HSS.1.T3.03;"Reconhecer e documentar padrões sequenciais em eventos sazonais ou experiências pessoais, utilizando um calendário e palavras e frases relacionadas à cronologia e ao tempo (por exemplo, passado ou futuro; tempos verbais presente, passado e futuro)."
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 4: Economia: Recursos e Opções (compartilhado com o 2º ano);HSS.1.T4.01;Explique a relação entre recursos naturais e indústrias e empregos em um determinado local (por exemplo, pesca, construção naval, agricultura, comércio, mineração, silvicultura, indústria).
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 4: Economia: Recursos e Opções (compartilhado com o 2º ano);HSS.1.T4.02;Diferenciar um recurso renovável de um recurso não renovável.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 4: Economia: Recursos e Opções (compartilhado com o 2º ano);HSS.1.T4.03;Explique que as pessoas também são um recurso e que o conhecimento e as habilidades que elas adquirem na escola, na universidade e no trabalho possibilitam inovações e avanços tecnológicos que levam a uma proporção cada vez maior de bens e serviços.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 4: Economia: Recursos e Opções (compartilhado com o 2º ano);HSS.1.T4.04;Obtenção de renda: Explique o que significa estar empregado e defina os termos renda, salário e remuneração.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 4: Economia: Recursos e Opções (compartilhado com o 2º ano);HSS.1.T4.05;Compra de bens e serviços: Dê exemplos de produtos (bens) que as pessoas compram e usam.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 4: Economia: Recursos e Opções (compartilhado com o 2º ano);HSS.1.T4.06;Dê exemplos de serviços que as pessoas prestam umas às outras.
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 4: Economia: Recursos e Opções (compartilhado com o 2º ano);HSS.1.T4.07;"Dê exemplos de escolhas que as pessoas precisam fazer sobre a compra de bens e serviços (por exemplo, comida para a família ou um videogame; passagem de ônibus para ir ao trabalho ou um ingresso de cinema para entretenimento) e por que elas precisam fazer essas escolhas (por exemplo, porque só têm dinheiro suficiente para uma compra, e não para duas)."
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 4: Economia: Recursos e Opções (compartilhado com o 2º ano);HSS.1.T4.08;Analise exemplos de escolhas voluntárias que as pessoas fazem ao comprar bens e serviços (por exemplo, comprar de uma empresa que apoia seus trabalhadores ou protege o meio ambiente).
1; Liderança, Cooperação, Unidade e Diversidade;Tópico 4: Economia: Recursos e Opções (compartilhado com o 2º ano);HSS.1.T4.09;Poupança: Compare e contraste os motivos pelos quais as pessoas poupam parte do seu dinheiro (por exemplo, decidem reservar uma quantia para uma compra futura, para uma doação a uma instituição de caridade ou para uma emergência).
2; Geografia Global;Tópico 1: Leitura e criação de mapas;HSS.2.T1.01;Explique os tipos de informação fornecidos pelos componentes de um mapa (por exemplo, rosa dos ventos/pontos cardeais, escala, legenda, título) e dê exemplos de como os mapas podem mostrar as relações entre os seres humanos e o meio ambiente (por exemplo, viagens, estradas, recursos naturais, agricultura, mineração).
2; Geografia Global;Tópico 1: Leitura e criação de mapas;HSS.2.T1.02;Compare diferentes tipos de projeções cartográficas (por exemplo, Mercator, Peters) e explique como elas representam o mundo de maneiras diferentes.
2; Geografia Global;Tópico 1: Leitura e criação de mapas;HSS.2.T1.03;Desenhe um mapa de um lugar familiar (por exemplo, escola, bairro, parque).
2; Geografia Global;Tópico 2: Geografia e seus efeitos sobre as pessoas;HSS.2.T2.01;Em um mapa-múndi e em um globo terrestre, localize todos os continentes e algumas das principais características físicas de cada continente (por exemplo, lagos, mares, baías, rios e afluentes, montanhas e cordilheiras, penínsulas, desertos, planícies).
2; Geografia Global;Tópico 2: Geografia e seus efeitos sobre as pessoas;HSS.2.T2.02;Em um mapa-múndi e em um globo terrestre, localize os oceanos do mundo e explique a importância dos oceanos e como eles tornam o mundo habitável.
2; Geografia Global;Tópico 2: Geografia e seus efeitos sobre as pessoas;HSS.2.T2.03;Explique como a localização das formações geográficas e dos corpos d'água ajuda a determinar as condições (ou seja, clima, tempo, vegetação) para a vida habitável.
2; Geografia Global;Tópico 2: Geografia e seus efeitos sobre as pessoas;HSS.2.T2.04;Explique e descreva a interação humana com o mundo físico (o meio ambiente).
2; Geografia Global;Tópico 3: História: migrações e culturas;HSS.2.T3.01;Investigar as razões pelas quais as pessoas migram (se mudam) para diferentes lugares do mundo, reconhecendo que algumas migrações são voluntárias e outras são forçadas (por exemplo, refugiados, pessoas expulsas de seus países de origem, pessoas escravizadas).
2; Geografia Global;Tópico 3: História: migrações e culturas;HSS.2.T3.02;"Dê exemplos de por que os Estados Unidos são considerados uma ""nação de imigrantes""."
2; Geografia Global;Tópico 3: História: migrações e culturas;HSS.2.T3.03;Realize entrevistas com familiares, vizinhos, amigos ou funcionários da escola para descobrir de onde suas famílias vieram, como e por que se mudaram para onde moram atualmente e quando e por que suas famílias vieram para Massachusetts.
2; Geografia Global;Tópico 3: História: migrações e culturas;HSS.2.T3.04;"Identificar o que indivíduos e famílias trazem consigo (por exemplo, memórias, características culturais, pertences, ideias e idiomas ou formas de falar) quando se mudam para um lugar diferente e identificar os impactos significativos da migração; identificar elementos que definem a cultura de uma sociedade (por exemplo, idioma, literatura, artes, religião, tradições, costumes); explicar como a comunidade é enriquecida pelas contribuições de todas as pessoas que a compõem hoje. Esclarecimento: Os alunos devem ser capazes de dar exemplos de tradições ou costumes de outros países que são praticados nos Estados Unidos hoje, com foco nas culturas representadas na turma e na contribuição dessas culturas para a sociedade americana; descrever comidas, costumes, jogos e músicas tradicionais do lugar de onde eles, suas famílias ou seus ancestrais vieram."
2; Geografia Global;Tópico 4: Educação cívica no contexto da geografia: países e governos;HSS.2.T4.01;Reconhecer a diferença entre geografia física e geografia política. Por exemplo, os alunos aprendem que a África é um continente (geografia física) que inclui vários países independentes (por exemplo, Egito, Somália, Nigéria).
2; Geografia Global;Tópico 4: Educação cívica no contexto da geografia: países e governos;HSS.2.T4.02;Explique as características de um país.
2; Geografia Global;Tópico 4: Educação cívica no contexto da geografia: países e governos;HSS.2.T4.03;Localize e analise informações e apresente um breve relatório de pesquisa sobre as características físicas, os recursos e a população de um país fora dos Estados Unidos.
2; Geografia Global;Tópico 5a: Recursos;HSS.2.T5a.01;Explique a relação entre recursos naturais e indústrias e empregos em um determinado local (por exemplo, pesca, construção naval, agricultura, comércio, mineração, silvicultura, indústria).
2; Geografia Global;Tópico 5a: Recursos;HSS.2.T5a.02;Diferenciar um recurso renovável de um recurso não renovável.
2; Geografia Global;Tópico 5a: Recursos;HSS.2.T5a.03;Explique que as pessoas também são um recurso e que o conhecimento e as habilidades que elas adquirem na escola, na universidade e no trabalho possibilitam inovações e avanços tecnológicos que levam a uma proporção cada vez maior de bens e serviços.
2; Geografia Global;Tópico 5b: Obtenção de Renda;HSS.2.T5b.01;Explique o que significa estar empregado e defina os termos renda, salário e remuneração.
2; Geografia Global;Tópico 5c: Aquisição de bens e serviços:;HSS.2.T5c.01;Dê exemplos de produtos (mercadorias) que as pessoas compram e usam.
2; Geografia Global;Tópico 5c: Aquisição de bens e serviços:;HSS.2.T5c.02;Dê exemplos de serviços que as pessoas prestam umas às outras.
2; Geografia Global;Tópico 5c: Aquisição de bens e serviços:;HSS.2.T5c.03;"Dê exemplos de escolhas que as pessoas precisam fazer sobre a compra de bens e serviços (por exemplo, comida para a família ou um videogame; passagem de ônibus para ir ao trabalho ou um ingresso de cinema para entretenimento) e por que elas precisam fazer essas escolhas (por exemplo, porque só têm dinheiro suficiente para uma compra, e não para duas)."
2; Geografia Global;Tópico 5c: Aquisição de bens e serviços:;HSS.2.T5c.04;Analise exemplos de escolhas voluntárias que as pessoas fazem ao comprar bens e serviços (por exemplo, comprar de uma empresa que apoia seus trabalhadores ou protege o meio ambiente).
2; Geografia Global;Tópico 5d: Economizando;HSS.2.T5d.01;Compare e contraste os motivos pelos quais as pessoas economizam parte do seu dinheiro (por exemplo, decidem reservar uma quantia para uma compra futura, para uma doação a uma instituição de caridade ou para uma emergência).
3; Massachusetts, lar de muitas pessoas diferentes.;Tópico 1: Cidades e vilas de Massachusetts hoje e ao longo da história;HSS.3.T1.01;Em um mapa atual de Massachusetts, utilize os pontos cardeais, escalas, legendas e títulos para localizar e descrever a cidade ou vila onde se encontra a escola frequentada pelos alunos, suas características geográficas locais, pontos de interesse histórico e sua importância.
3; Massachusetts, lar de muitas pessoas diferentes.;Tópico 1: Cidades e vilas de Massachusetts hoje e ao longo da história;HSS.3.T1.02;"Investigue as origens demográficas da cidade (por exemplo, os povos indígenas que originalmente viviam ou ainda vivem lá, as pessoas que a estabeleceram como uma cidade colonial, sua data de fundação e os homens e mulheres livres, contratados e escravizados que contribuíram para o bem-estar da cidade). Explique que, antes de meados do século XIX, a maioria dos colonizadores era de ascendência indígena, do norte da Europa ou africana; descreva a população atual e os grupos de imigrantes dos séculos XX e XXI; e entreviste familiares, amigos e vizinhos para coletar informações sobre a vida e o trabalho no local, no passado e no presente."
3; Massachusetts, lar de muitas pessoas diferentes.;Tópico 1: Cidades e vilas de Massachusetts hoje e ao longo da história;HSS.3.T1.03;Explique por que salas de aula, escolas, cidades e municípios têm governos, o que os governos fazem, como os governos locais são organizados em Massachusetts e como as pessoas participam e contribuem para suas comunidades.
3; Massachusetts, lar de muitas pessoas diferentes.;Tópico 2: A Geografia e os Povos Indígenas de Massachusetts;HSS.3.T2.01;Em um mapa físico da América do Norte, utilize os pontos cardeais, a escala do mapa, as legendas e os títulos para localizar a região Nordeste e identificar características físicas importantes (por exemplo, rios, lagos, litorais oceânicos, cabos e baías e cadeias de montanhas).
3; Massachusetts, lar de muitas pessoas diferentes.;Tópico 2: A Geografia e os Povos Indígenas de Massachusetts;HSS.3.T2.02;Em um mapa político dos Estados Unidos da atualidade, localize os estados da Nova Inglaterra (Connecticut, Rhode Island, Massachusetts, New Hampshire, Vermont e Maine). Observação: Essas diretrizes foram elaboradas para servir como transição a partir do segundo ano do ensino fundamental, quando os alunos aprenderam sobre os componentes de um mapa e a diferença entre geografia física e política.
3; Massachusetts, lar de muitas pessoas diferentes.;Tópico 2: A Geografia e os Povos Indígenas de Massachusetts;HSS.3.T2.03;Explique a diversidade dos povos indígenas, passados e presentes, em Massachusetts e na região da Nova Inglaterra. a. Os nomes de pelo menos três grupos indígenas (por exemplo, Abenaki/Wabanaki, Massachusett, Mohican/Stockbridge, Narragansett, Nipmuc, Wampanoag). b. A localização dos territórios tribais no estado. c. Características físicas e sua influência na localização dos assentamentos tradicionais. d. As contribuições de um grupo tribal da área da escola (por exemplo, língua, literatura, artes, rotas comerciais, alimentos como milho, feijão e abóbora, itens úteis como cestos, canoas, wampum e conhecimento útil de plantas medicinais, palavras como powwow e mocassim, e muitos nomes de cursos d'água, colinas, montanhas, ilhas e nomes de lugares, como os rios Connecticut e Merrimack, o Monte Wachusett, a Cordilheira Taconic, Nantucket, Natick, Seekonk, Agawam, Chicopee).
3; Massachusetts, lar de muitas pessoas diferentes.;Tema 3: Os primeiros contatos dos exploradores europeus com os povos indígenas do nordeste;HSS.3.T3.01;Localize a América do Norte, o Oceano Atlântico e a Europa em um mapa, explique como os povos nativos entraram em contato com os europeus pela primeira vez e explique por que os europeus, nos séculos XVI e XVII, navegaram para o oeste através do Atlântico (por exemplo, para encontrar novas rotas comerciais para a Ásia e novos suprimentos de recursos naturais, como metais, madeira e peixe).
3; Massachusetts, lar de muitas pessoas diferentes.;Tema 3: Os primeiros contatos dos exploradores europeus com os povos indígenas do nordeste;HSS.3.T3.02;Trace num mapa as viagens dos exploradores europeus à costa nordeste da América do Norte (por exemplo, Giovanni Caboto [John Cabot], Bartholomew Gosnold, Giovanni de Verrazano, John Smith, Samuel de Champlain).
