Grado;Área;Tema;Código;Descripción
PK-K; Artes mediáticas;Seleccionar, analizar e interpretar obras artísticas para su presentación.;PK-K.MA.P.04; Centrarse en un proceso o idea y perseguirlo hasta su finalización durante la experimentación con una variedad de medios y herramientas.
PK-K; Artes mediáticas;Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;PK-K.MA.P.05; Con indicaciones y apoyo, genere múltiples ideas para una imagen en movimiento o una pieza interactiva.
PK-K; Artes mediáticas;Transmitir significado a través de la presentación de obras artísticas.;PK-K.MA.P.06; Describe el proceso y las elecciones realizadas al generar componentes para una imagen en movimiento o una pieza interactiva.
PK-K; Artes mediáticas;Percibir y analizar la obra artística;PK-K.MA.R.07; Seleccione un producto multimedia de juego y experimentación para compartir.
PK-K; Artes mediáticas;Interpretar la intención y el significado en la obra artística;PK-K.MA.R.08; Dar razones para seleccionar un producto mediático para presentar.
PK-K; Artes mediáticas;Aplicar criterios para evaluar el trabajo artístico;PK-K.MA.R.09;Con indicaciones y apoyo, identifique similitudes entre múltiples piezas de arte multimedia diferentes.
PK-K; Artes mediáticas;Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;PK-K.MA.Co.10; Compartir observaciones sobre una variedad de obras de arte en medios.
PK-K; Artes mediáticas;Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;PK-K.MA.Co.11; Articular respuestas personales a obras de arte multimedia (por ejemplo, ?esta pieza me hizo sentir?? ?esta pieza me hizo pensar??).
PK-K;Música;Generar y conceptualizar ideas y trabajos artísticos.;PK-KMCr.01;Identificar ejemplos de obras de arte multimedia en la vida diaria de los estudiantes.
PK-K;Música;Organizar y desarrollar ideas y trabajos artísticos.;PK-KMCr.02; Con ayuda, identificar diferentes tipos de obras de arte multimedia (por ejemplo, animación, sitio web, espacio digital).
PK-K;Música;Refinar y completar la obra artística;PK-KMCr.03; Con indicaciones y apoyo, cante o interprete ideas musicales originales y breves.
PK-K;Música;Seleccionar, analizar e interpretar obras artísticas para su presentación.;PK-KMP04;
PK-K;Música;Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;PK-KMP05;a. Centrarse en un proceso o idea y perseguirlo hasta su finalización durante el juego y la experimentación con la música.
PK-K;Música;Transmitir significado a través de la presentación de obras artísticas.;PK-KMP06;b. Nombrar y demostrar los tipos de producción vocal (incluyendo hablar, cantar y susurrar).
PK-K;Música;Percibir y analizar la obra artística;PK-KMR07; Con indicaciones y apoyo, elija sus ideas musicales favoritas, practicándolas y demuéstrelas vocalmente o con un instrumento.
PK-K;Música;Interpretar la intención y el significado en la obra artística;PK-KMR08; Contrasta diferentes elementos musicales opuestos (incluidos rápido-lento, alto-bajo, bajo-fuerte) a través del canto, la interpretación o el movimiento.
PK-K;Música;Aplicar criterios para evaluar el trabajo artístico;PK-KMR09; Demostrar competencia rítmica utilizando un ritmo constante al interpretar piezas que incorporan patrones rítmicos simples (por ejemplo, percusión corporal, instrumentos de aula o movimiento).
PK-K;Música;Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;PK-KMCo.10; Interpretar una breve idea musical original a través del canto y el juego con expresión.
PK-K;Música;Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;PK-KMCo.11; Cumplir con las expectativas de un miembro de la audiencia (por ejemplo, escuchar en silencio, aplaudir al final).
PK-K;Teatro;Generar y conceptualizar ideas y trabajos artísticos.;PK-KTCr.01; Compartir observaciones sobre diversas obras musicales (por ejemplo, mundiales, populares, folclóricas, clásicas, etc.)
PK-K;Teatro;Organizar y desarrollar ideas y trabajos artísticos.;PK-KTCr.02; Articular respuestas personales a la música (por ejemplo, ?esta pieza me hizo sentir?? ?esta pieza me hizo pensar??)
PK-K;Teatro;Refinar y completar la obra artística;PK-KTCr.03;Identificar ejemplos de música que escuchan o interpretan en su vida diaria (por ejemplo, en anuncios o en la radio).
PK-K;Teatro;Seleccionar, analizar e interpretar obras artísticas para su presentación.;PK-KTP04; Pasar a diferentes géneros y estilos de música (por ejemplo, clásica, jazz, rock, country, hip-hop).
PK-K;Teatro;Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;PK-KTP05;Aportar ideas para historias en una obra dramática.
PK-K;Teatro;Transmitir significado a través de la presentación de obras artísticas.;PK-KTP06; Utilice objetos cotidianos para crear marionetas, accesorios, escenografía y piezas de vestuario en obras dramáticas.
PK-K;Teatro;Percibir y analizar la obra artística;PK-KTR07; ÿRepetir escenas improvisadas de diferentes maneras (por ejemplo, imaginar que este personaje estuviera feliz, repetir la escena si estuviera lloviendo).
PK-K;Teatro;Interpretar la intención y el significado en la obra artística;PK-KTR08;ÿIdentificar sentimientos realistas que podrían tener los personajes en una obra teatral.
PK-K;Teatro;Aplicar criterios para evaluar el trabajo artístico;PK-KTR09; Demostrar comportamientos apropiados de una presentación teatral (por ejemplo, esperar para entrar, hacer una reverencia al final).
PK-K;Teatro;Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;PK-KTCo.10;Retratar personajes sencillos en una obra dramática.
PK-K;Teatro;Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;PK-KTCo.11;Cumplir con las expectativas de un miembro de la audiencia (por ejemplo, escuchar en silencio, aplaudir al final).
PK-K; Artes visuales;Generar y conceptualizar ideas y trabajos artísticos.;PK-KVCr.01;"ÿCompartir observaciones sobre una obra teatral (por ejemplo, ""Noté que todos los personajes malos estaban vestidos de rojo"")."
PK-K; Artes visuales;Organizar y desarrollar ideas y trabajos artísticos.;PK-KVCr.02;Articular respuestas personales al trabajo teatral (por ejemplo, ?esta pieza me hizo sentir?? ?esta pieza me hizo pensar??).
PK-K; Artes visuales;Refinar y completar la obra artística;PK-KVCr.03; Con indicaciones y apoyo, identificar similitudes entre elementos de una obra teatral y experiencias personales.
PK-K; Artes visuales;Seleccionar, analizar e interpretar obras artísticas para su presentación.;PK-KVP04;Con apoyo, identificar diferentes tipos de obras teatrales (por ejemplo, títeres, musicales, improvisación).
PK-K; Artes visuales;Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;PK-KVP05; Experimente con una amplia variedad de materiales tanto bidimensionales como tridimensionales, incluidos los reciclados/reutilizados, después de mirar imágenes de varios artistas que utilizan esos materiales.
PK-K; Artes visuales;Transmitir significado a través de la presentación de obras artísticas.;PK-KVP06; Centrarse en un proceso o idea y perseguirlo hasta su finalización al experimentar con una amplia variedad de materiales artísticos.
PK-K; Artes visuales;Percibir y analizar la obra artística;PK-KVR07; Investigar más de una idea artística utilizando el mismo medio.
PK-K; Artes visuales;Interpretar la intención y el significado en la obra artística;PK-KVR08;Crea una imagen u objeto y describe lo que representa.
PK-K; Artes visuales;Aplicar criterios para evaluar el trabajo artístico;PK-KVR09; Selecciona y comparte un producto creado a través de la experimentación con materiales.
PK-K; Artes visuales;Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;PK-KVCo.10;Dar razones para seleccionar una obra de arte para compartir.
PK-K; Artes visuales;Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;PK-KVCo.11; Con indicaciones y apoyo, identifique similitudes entre múltiples piezas de arte.
 1-2;Danza;Generar y conceptualizar ideas y trabajos artísticos.;1-2.D.Cr.01;" Describe lo que se ve en una obra de arte (por ejemplo, ""Veo un punto; veo amarillo en la esquina; veo una parte redonda""), interpreta un posible significado y explica por qué el significado tiene sentido."
 1-2;Danza;Organizar y desarrollar ideas y trabajos artísticos.;1-2.D.Cr.02; Seleccione una obra que evoque sentimientos y describa la conexión entre la obra y la respuesta emocional.
 1-2;Danza;Refinar y completar la obra artística;1-2.D.Cr.03;Identificar ejemplos de arte en la vida diaria y utilizarlos como inspiración para sus obras de arte.
 1-2;Danza;Seleccionar, analizar e interpretar obras artísticas para su presentación.;1-2.DP04;Con apoyo, identificar diferentes tipos de obras de arte (por ejemplo, pinturas, esculturas, representaciones, fibras) dentro de su comunidad y otros lugares que hayan conocido.
 1-2;Danza;Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;1-2.DP05;Generar ideas de baile que utilicen niveles (por ejemplo, alto, bajo), caminos (por ejemplo, rectos, curvos), formas (por ejemplo, simétricos y asimétricos) y direcciones (por ejemplo, hacia atrás, diagonales).
 1-2;Danza;Transmitir significado a través de la presentación de obras artísticas.;1-2.DP06; Iniciar movimientos desde locomoción o no locomoción utilizando diferentes partes del cuerpo.
 1-2;Danza;Percibir y analizar la obra artística;1-2.DR07; Demostrar precisión al moverse al ritmo musical y responder a los cambios de tempo.
 1-2;Danza;Interpretar la intención y el significado en la obra artística;1-2.DR08; Demostrar la diferencia entre la pantomima y el gesto en la danza.
 1-2;Danza;Aplicar criterios para evaluar el trabajo artístico;1-2.DR09; Demostrar habilidades de socio para copiar, liderar y seguir.
 1-2;Danza;Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;1-2.D.Co.10;Muévete de manera que coincida con las señales, direcciones e interpretaciones artísticas.
 1-2;Danza;Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;1-2.D.Co.11; Con apoyo, identificar los elementos básicos de la danza (incluidos el cuerpo, la acción, el espacio, el tiempo y la energía).
 1-2; Artes mediáticas;Generar y conceptualizar ideas y trabajos artísticos.;1-2.MA.Cr.01; Muévete y categoriza las obras de danza según tu estado de ánimo.
 1-2; Artes mediáticas;Organizar y desarrollar ideas y trabajos artísticos.;1-2.MA.Cr.02; Demostrar observación activa como miembro de la audiencia (por ejemplo, notar detalles, hacer conexiones).
 1-2; Artes mediáticas;Refinar y completar la obra artística;1-2.MA.Cr.03;Establecer conexiones entre la experiencia personal y una obra de danza.
 1-2; Artes mediáticas;Seleccionar, analizar e interpretar obras artísticas para su presentación.;1-2.MA.P.04; Identificar diferentes estilos de baile (por ejemplo, tap, hip-hop, ballet, square).
 1-2; Artes mediáticas; Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;1-2.MA.P.05; Generar ideas utilizando una variedad de plataformas (por ejemplo, páginas web, animaciones, vídeos).
 1-2; Artes mediáticas;Transmitir significado a través de la presentación de obras artísticas.;1-2.MA.P.06;"Desarrollar planes para producciones de artes mediáticas (por ejemplo, un estudiante dice antes de comenzar un proyecto de medios: ""Voy a hacer una animación usando solo triángulos"")."
 1-2; Artes mediáticas;Percibir y analizar la obra artística;1-2.MA.R.07; Refinar ideas utilizando elementos artísticos (por ejemplo, color, movimiento) para crear imágenes en movimiento o arte interactivo.
 1-2; Artes mediáticas;Interpretar la intención y el significado en la obra artística;1-2.MA.R.08; Identificar diferentes momentos, lugares, públicos y contextos para presentar obras de arte multimedia.
 1-2; Artes mediáticas;Aplicar criterios para evaluar el trabajo artístico;1-2.MA.R.09;Organizar obras de arte con intención artística (por ejemplo, por tema, concepto u otro principio organizativo).
 1-2; Artes mediáticas;Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;1-2.MA.Co.10; Identificar su mejor trabajo o su trabajo favorito para compartir.
 1-2; Artes mediáticas;Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;1-2.MA.Co.11;Con apoyo, identificar los elementos básicos del arte multimedia (colecciones de imágenes y sonido, tecnología, interactividad).
 1-2;Música;Generar y conceptualizar ideas y trabajos artísticos.;1-2.M.Cr.01;Clasifique las obras de arte por tema y estado de ánimo.
 1-2;Música;Organizar y desarrollar ideas y trabajos artísticos.;1-2.M.Cr.02;Demostrar una observación atenta del trabajo artístico (por ejemplo, observar detalles y establecer conexiones).
 1-2;Música;Refinar y completar la obra artística;1-2.M.Cr.03; Establecer conexiones entre una obra de arte y su experiencia personal.
 1-2;Música;Seleccionar, analizar e interpretar obras artísticas para su presentación.;1-2.MP04;Identificar ejemplos de diferentes contextos dentro de las obras de arte multimedia.
 1-2;Música;Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;1-2.MP05; Improvisar ideas musicales originales y breves.
 1-2;Música;Transmitir significado a través de la presentación de obras artísticas.;1-2.MP06; Conecta múltiples ideas musicales originales en una sola pieza.
 1-2;Música;Percibir y analizar la obra artística;1-2.MR07; Explora diferentes ideas musicales experimentando con la voz o los instrumentos.
 1-2;Música;Interpretar la intención y el significado en la obra artística;1-2.MR08; Cante canciones utilizando la voz de cabeza, la calidad del tono producido apropiadamente y la postura correcta.
 1-2;Música;Aplicar criterios para evaluar el trabajo artístico;1-2.MR09;Cantar y tocar individualmente frases sencillas siguiendo la notación estándar básica (por ejemplo, blancas y negras o combinar patrones pentatónicos simples).
 1-2;Música;Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;1-2.M.Co.10;Cante y toque en grupos combinando niveles dinámicos y respondiendo a las indicaciones de un director.
 1-2;Música;Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;1-2.M.Co.11;Con apoyo, identificar elementos básicos en canciones conocidas (incluido el tempo, la dinámica, el ritmo, la melodía).
 1-2;Teatro;Generar y conceptualizar ideas y trabajos artísticos.;1-2.T.Cr.01; Clasifique las obras musicales por sentimiento o estado de ánimo.
 1-2;Teatro;Organizar y desarrollar ideas y trabajos artísticos.;1-2.T.Cr.02;Demostrar escucha activa como miembro de la audiencia (por ejemplo, notar detalles, hacer conexiones).
 1-2;Teatro;Refinar y completar la obra artística;1-2.T.Cr.03; Establecer conexiones entre la experiencia personal y una obra musical.
 1-2;Teatro;Seleccionar, analizar e interpretar obras artísticas para su presentación.;1-2.TP04; Identificar diferentes géneros y estilos de música (por ejemplo, canciones populares, canciones de cuna, jazz, reggae).
 1-2;Teatro;Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;1-2.TP05;
 1-2;Teatro;Transmitir significado a través de la presentación de obras artísticas.;1-2.TP06;
 1-2;Teatro;Percibir y analizar la obra artística;1-2.TR07;a. Proponer ideas para vestuario, utilería y escenografía en una experiencia teatral guiada.
 1-2;Teatro;Interpretar la intención y el significado en la obra artística;1-2.TR08;b. Contribuir al desarrollo de una trama secuencial.
 1-2;Teatro;Aplicar criterios para evaluar el trabajo artístico;1-2.TR09;
 1-2;Teatro;Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;1-2.T.Co.10;a. Desarrollar las ideas de otros en una obra dramática o una experiencia teatral guiada. (1-2.T.Cr.02.a)
 1-2;Teatro;Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;1-2.T.Co.11;b. Crea accesorios, disfraces o decorados según un plan (por ejemplo, los estudiantes colocan sábanas sobre sillas para crear un bosque).
 1-2; Artes visuales;Generar y conceptualizar ideas y trabajos artísticos.;1-2.V.Cr.01;
 1-2; Artes visuales;Organizar y desarrollar ideas y trabajos artísticos.;1-2.V.Cr.02;a. Proponer nuevos detalles sobre el personaje, la trama y la historia existentes en una experiencia teatral guiada. (1-2.T.Cr.03.a)
 1-2; Artes visuales;Refinar y completar la obra artística;1-2.V.Cr.03;b. Desarrollar voces y movimientos corporales acordes al personaje.
 1-2; Artes visuales;Seleccionar, analizar e interpretar obras artísticas para su presentación.; 1-2.P.04; Identificar personajes y escenarios en una obra teatral específica (por ejemplo, los personajes son el lobo y los tres cerdos, el escenario es un pueblo chino).
 1-2; Artes visuales;Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;1-2.P.05; Contribuir a la adaptación del diálogo y la trama en una experiencia teatral guiada.
 1-2; Artes visuales;Transmitir significado a través de la presentación de obras artísticas.;1-2.P.06; Retratar un personaje basándose en un plan existente (por ejemplo, guión, estructura de improvisación).
 1-2; Artes visuales;Percibir y analizar la obra artística;1-2.VR07; Con apoyo, identificar los elementos básicos del teatro (incluidos personajes y trama).
 1-2; Artes visuales;Interpretar la intención y el significado en la obra artística;1-2.VR08;"Compartir observaciones sobre una obra teatral (por ejemplo, ""Noté que el escenario parecía una calle de la ciudad"")."
 1-2; Artes visuales;Aplicar criterios para evaluar el trabajo artístico;1-2.VR09;Demostrar observación activa como miembro de la audiencia (por ejemplo, notar detalles, hacer conexiones).
 1-2; Artes visuales;Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;1-2.V.Co.10; Establecer conexiones entre la experiencia personal y las acciones o emociones de un personaje.
 1-2; Artes visuales;Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;1-2.V.Co.11; Identificar diferentes fuentes de obras teatrales (por ejemplo, cuentos populares y de hadas, vida cotidiana).
 3-4;Danza;Generar y conceptualizar ideas y trabajos artísticos.;3-4.Cr.D.01;Utilice una amplia variedad de medios bidimensionales y tridimensionales que comuniquen una idea dirigida por el docente después de mirar imágenes realizadas por artistas que utilizan materiales similares.
 3-4;Danza;Organizar y desarrollar ideas y trabajos artísticos.;3-4.Cr.D.02; Centrarse en un proceso o idea y perseguirlo hasta su finalización mediante la creación, el mantenimiento y la limpieza de un espacio de trabajo adecuado para una amplia variedad de materiales y herramientas de arte.
 3-4;Danza;Refinar y completar la obra artística;3-4.Cr.D.03; Utilice diferentes herramientas para experimentar con elementos artísticos (por ejemplo, utilizar objetos encontrados para crear textura).
 3-4;Danza;Seleccionar, analizar e interpretar obras artísticas para su presentación.;3-4.DP04;Explique más de un propósito para presentar arte (por ejemplo, crear un portfolio, curar una exhibición en un museo, producir una campaña publicitaria).
 3-4;Danza;Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;3-4.DP05; Organizar obras de arte con intención artística (por ejemplo, por tema, concepto u otro principio organizativo).
 3-4;Danza;Transmitir significado a través de la presentación de obras artísticas.;3-4.DP06;Identifique su mejor trabajo o su trabajo favorito para compartir y explique la elección.
 3-4;Danza;Percibir y analizar la obra artística;3-4.DR07;Con ayuda, identificar los elementos básicos dentro de una obra de arte (incluidos el color, la línea, la forma).
 3-4;Danza;Interpretar la intención y el significado en la obra artística;3-4.DR08; Clasifique las obras de arte por tema y estado de ánimo.
 3-4;Danza;Aplicar criterios para evaluar el trabajo artístico;3-4.DR09; Establecer un criterio para juzgar una obra (por ejemplo, es detallada, tiene colores brillantes).
 3-4;Danza;Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;3-4.D.Co.10; Establecer conexiones entre la experiencia personal y una obra de arte para utilizarla como inspiración para su trabajo.
 3-4;Danza;Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;3-4.D.Co.11;Identificar diferentes tipos de obras de arte (por ejemplo, pinturas, esculturas, representaciones, fibras) dentro de su comunidad y otros lugares que han conocido.
 3-4; Artes mediáticas;Generar y conceptualizar ideas y trabajos artísticos.;3-4.MA.Cr.01;Improvisar ideas de movimiento que exploren el espacio (por ejemplo, niveles, formas, direcciones, caminos) y el tiempo (por ejemplo, rápido y lento) como elementos de la danza.
 3-4; Artes mediáticas;Organizar y desarrollar ideas y trabajos artísticos.;3-4.MA.Cr.02;" Crea una frase de baile con un principio, un desarrollo y un final; sé capaz de repetirla."
 3-4; Artes mediáticas;Refinar y completar la obra artística;3-4.MA.Cr.03; Responder a un desafío de movimiento y plantear hipótesis sobre posibles soluciones (por ejemplo, cómo completar entradas y salidas en un espacio determinado).
 3-4; Artes mediáticas;Seleccionar, analizar e interpretar obras artísticas para su presentación.;3-4.MA.P.04; Demostrar precisión al memorizar y reproducir frases de movimiento.
 3-4; Artes mediáticas;Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;3-4.MA.P.05; Identificar estrategias para mejorar la fuerza, la flexibilidad, la resistencia, el equilibrio y la coordinación.
 3-4; Artes mediáticas;Transmitir significado a través de la presentación de obras artísticas.;3-4.MA.P.06;Moverse expresivamente al ritmo de una música y responder a los cambios de tempo.
 3-4; Artes mediáticas;Percibir y analizar la obra artística;3-4.MA.R.07; Analizar cómo los diferentes elementos del movimiento (por ejemplo, espacio, tiempo, esfuerzo) contribuyen al significado de una danza.
 3-4; Artes mediáticas;Interpretar la intención y el significado en la obra artística;3-4.MAR.R.08; Explicar la relación entre la cultura, el lugar y el comportamiento del público (por ejemplo, espectáculo callejero, presentación formal).
 3-4; Artes mediáticas;Aplicar criterios para evaluar el trabajo artístico;3-4.MAR.R.09;Identificar cómo se pueden utilizar los elementos técnicos básicos de la danza (por ejemplo, iluminación, sonido) para apoyar el propósito del artista.
 3-4; Artes mediáticas;Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;3-4.MA.Co.10;Distinguir las propias preferencias en materia de danza de las de otros (por ejemplo, compañeros, amigos o familiares).
 3-4; Artes mediáticas;Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;3-4.MA.Co.11;Describir las formas en que la interpretación de la danza se diferencia de otras formas de movimiento utilizadas en los deportes y los gestos cotidianos (es decir, identificar el papel de la intención artística).
 3-4;Música;Generar y conceptualizar ideas y trabajos artísticos.;3-4.M.Cr.01; Generar ideas de artes mediáticas que utilicen imágenes en movimiento e interactividad.
 3-4;Música;Organizar y desarrollar ideas y trabajos artísticos.;3-4.M.Cr.02; Organizar y planificar una idea utilizando una estrategia seleccionada por el docente (por ejemplo, bocetos, lluvia de ideas, guiones gráficos simplificados, diagramas de flujo o modelado).
 3-4;Música;Refinar y completar la obra artística;3-4.M.Cr.03; Responder a los desafíos artísticos y plantear hipótesis sobre posibles resultados (por ejemplo, ¿cómo se pueden utilizar las imágenes en movimiento para enseñar a otros sobre las especies en peligro de extinción?).
 3-4;Música;Seleccionar, analizar e interpretar obras artísticas para su presentación.;3-4.MP04;Explicar el proceso utilizado al crear arte personal, incluida la documentación de las primeras etapas del proceso creativo utilizando una variedad de métodos.
 3-4;Música;Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;3-4.MP05; Perfeccionar una técnica específica para producir una obra de arte multimedia (por ejemplo, crear un objeto interactivo realista como una pelota de baloncesto).
 3-4;Música;Transmitir significado a través de la presentación de obras artísticas.;3-4.MP06; Crear una obra que exprese, evoque o comunique una idea dirigida (por ejemplo, los estudiantes crean una obra que transmite un mensaje a una audiencia específica).
 3-4;Música;Percibir y analizar la obra artística;3-4.MR07; Analizar cómo los principios estéticos impactan el efecto y el propósito de las obras de arte multimedia.
 3-4;Música;Interpretar la intención y el significado en la obra artística;3-4.MR08; Explique cómo una obra de arte puede identificar múltiples perspectivas y diversas ideas de la comunidad y puede ayudar a conectarse con una comunidad o cultura.
 3-4;Música;Aplicar criterios para evaluar el trabajo artístico;3-4.MR09; Identificar cómo se pueden utilizar los elementos técnicos básicos de una obra de arte multimedia (por ejemplo, imágenes en movimiento, sonido, interactividad) para apoyar el propósito del artista.
 3-4;Música;Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;3-4.M.Co.01;Distinguir las preferencias personales en materia de artes mediáticas de las de otros (por ejemplo, amigos, familiares, profesores).
 3-4;Música;Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;3-4.M.Co.02; Describe formas en las que se pueden utilizar las artes multimedia para expresar ideas de formas únicas.
 3-4;Teatro;Generar y conceptualizar ideas y trabajos artísticos.;3-4.T.Cr.01; Cante o toque ideas musicales originales que exploren conceptos rítmicos y melódicos más complejos (incluidos la síncopa, el compás de tres por cuatro y las tonalidades menores).
 3-4;Teatro;Organizar y desarrollar ideas y trabajos artísticos.;3-4.T.Cr.02;" Organizar ideas musicales originales con comienzos, medios y finales claros; utilizando formas binarias o ternarias simples."
 3-4;Teatro;Refinar y completar la obra artística;3-4.T.Cr.03; Responder a un desafío musical y plantear hipótesis sobre posibles soluciones.
 3-4;Teatro;Seleccionar, analizar e interpretar obras artísticas para su presentación.;3-4.TP04;Leer individualmente ritmos y melodías moderadamente complicados (por ejemplo, melodías con corcheas, negras y blancas alternadas, tonalidades pentatónicas y diatónicas) en notación estándar en clave de sol.
 3-4;Teatro;Desarrollar y perfeccionar técnicas artísticas y trabajar para la presentación.;3-4.TP05; Cantar y tocar cánones musicales, rondas y música en al menos dos partes.
 3-4;Teatro;Transmitir significado a través de la presentación de obras artísticas.;3-4.TP06;Cantar y tocar en grupos respondiendo apropiadamente a las indicaciones de un director.
 3-4;Teatro;Percibir y analizar la obra artística;3-4.TR07; Analizar cómo se utilizan las cualidades expresivas (por ejemplo, tempo, dinámica, timbre) para demostrar la intención musical de un compositor.
 3-4;Teatro;Interpretar la intención y el significado en la obra artística;3-4.TR08; Explicar la relación entre la cultura, el lugar y el comportamiento del público (por ejemplo, espectáculo callejero, sinfonía).
 3-4;Teatro;Aplicar criterios para evaluar el trabajo artístico;3-4.TR09; Identificar cómo los elementos de la música (por ejemplo, el tempo, la dinámica, el ritmo, la melodía, la armonía) pueden utilizarse para apoyar el propósito del artista.
 3-4;Teatro;Sintetizar y relacionar conocimientos y experiencias personales para hacer arte.;3-4.T.Co.10; Distinguir las propias preferencias musicales de las de otros (por ejemplo, amigos o familiares).
 3-4;Teatro;Relacionar ideas y obras artísticas con contextos sociales, culturales e históricos para profundizar la comprensión.;3-4.T.Co.11; Describe las formas en que la música se diferencia de otras formas de sonidos cotidianos (es decir, cuál es el papel de la intención artística).
 3-4; Artes visuales;Generar y conceptualizar ideas y trabajos artísticos.;3-4.V.Cr.01; Crear y articular detalles sensoriales de mundos imaginados e historias improvisadas.
